timestamp,model,input_tokens,output_tokens,total_tokens,estimated_usd
2026-08-13T21:02:49,gpt-4o,13,2,15,0.00000315
2026-08-13T21:02:53,gpt-4o,13,2,15,0.00000315
2026-08-13T21:02:55,gpt-4o,13,2,15,0.00000315
2026-08-13T21:03:12,gpt-4o,13,2,15,0.00000315
2026-08-13T21:05:44,gpt-4o,13,2,15,0.00000315
2026-08-13T21:05:53,gpt-4o,13,2,15,0.00000315
2026-08-14T07:04:32,gpt-4o,13,2,15,0.00000315
2026-08-14T07:04:34,gpt-4o,13,2,15,0.00000315
2026-08-14T07:04:41,gpt-4o,13,2,15,0.00000315
2026-08-14T11:08:01,gpt-4o,13,2,15,0.00000315
2026-08-14T11:08:13,gpt-4o,1792,2,1794,0.00027000
2026-08-14T11:08:21,gpt-4o,1792,2,1794,0.00027000
2026-08-14T11:08:41,gpt-4o,1792,4,1796,0.00027120
2026-08-20T13:19:09,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:19:18,gpt-4o,13,2,15,0.00000315
2026-08-20T13:19:24,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:19:31,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:19:37,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:19:42,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:19:49,gpt-4o,3228,4,3232,0.00048660
2026-08-20T13:19:56,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:20:06,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:20:16,gpt-4o,3228,3,3231,0.00048600
2026-08-20T13:20:23,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:20:27,gpt-4o,3228,2,3230,0.00048540
2026-08-20T13:20:32,gpt-4o,3228,58,3286,0.00051900
2026-08-20T13:20:42,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:20:52,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:20:59,gpt-4o,3228,2,3230,0.00048540
2026-08-20T13:21:05,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:12,gpt-4o,3228,2,3230,0.00048540
2026-08-20T13:21:18,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:25,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:30,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:37,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:46,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:50,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:21:54,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:22:00,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:22:07,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:23:19,gpt-4o,3228,1,3229,0.00048480
2026-08-20T13:25:18,gpt-4o,13,2,15,0.00000315
2026-08-20T13:25:22,gpt-4o,3463,1,3464,0.00052005
2026-08-20T13:25:51,gpt-4o,3463,80,3543,0.00056745
2026-08-20T13:25:56,gpt-4o,3463,80,3543,0.00056745
2026-08-20T13:26:03,gpt-4o,3463,1,3464,0.00052005
2026-08-20T13:26:08,gpt-4o,3463,1,3464,0.00052005
2026-08-20T13:27:19,gpt-4o,3463,1,3464,0.00052005
2026-08-20T13:29:14,gpt-4o,13,2,15,0.00000315
2026-08-20T13:29:18,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:29:24,gpt-4o,3570,29,3599,0.00055290
2026-08-20T13:29:54,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:29:59,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:30:04,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:31:31,gpt-4o,13,2,15,0.00000315
2026-08-20T13:31:36,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:31:38,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:31:43,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:31:46,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:31:58,gpt-4o,3570,37,3607,0.00055770
2026-08-20T13:32:09,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:32:12,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:32:18,gpt-4o,3570,31,3601,0.00055410
2026-08-20T13:32:48,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:32:51,gpt-4o,3570,160,3730,0.00063150
2026-08-20T13:35:00,gpt-4o,3596,46,3642,0.00056700
2026-08-20T13:35:07,gpt-4o,3596,47,3643,0.00056760
2026-08-20T13:35:13,gpt-4o,3596,21,3617,0.00055200
2026-08-20T13:37:21,gpt-4o,13,2,15,0.00000315
2026-08-20T13:37:22,gpt-4o,13,2,15,0.00000315
2026-08-20T13:37:25,gpt-4o,3729,50,3779,0.00058935
2026-08-20T13:37:32,gpt-4o,3729,70,3799,0.00060135
2026-08-20T13:37:52,gpt-4o,3729,66,3795,0.00059895
2026-08-20T13:38:11,gpt-4o,3729,66,3795,0.00059895
2026-08-20T13:38:30,gpt-4o,3729,250,3979,0.00070935
2026-08-20T13:38:46,gpt-4o,3729,245,3974,0.00070635
2026-08-20T13:39:01,gpt-4o,3729,299,4028,0.00073875
2026-08-20T13:39:28,gpt-4o,3729,52,3781,0.00059055
2026-08-20T13:39:46,gpt-4o,3729,52,3781,0.00059055
2026-08-20T13:40:01,gpt-4o,3729,65,3794,0.00059835
2026-08-20T13:40:12,gpt-4o,3729,65,3794,0.00059835
